participant,session_time,mem_nom,cond_1st,tree_behaviour,resource_distribution,trial,trial_number,bg_name,bg_type,loop,sample,t_absolute,secs_elapsed,sample_interval,flag,fruits,row,col,x,y
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,1,1,669.540733327156,0.0,,0,0,,,-4.20001220703125,2.5999755859375
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,2,2,669.5654665065176,0.024733179361646762,0.024733179361646762,0,0,,,-6.0,1.5
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,3,3,669.5994863578089,0.058753030652951566,0.0340198512913048,0,0,,,-4.0999755859375,1.5
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,4,4,669.6325097737463,0.09177644659030193,0.033023415937350364,0,0,,,-4.0999755859375,-1.29998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,5,5,669.6654853912842,0.12475206412818807,0.03297561753788614,0,0,,,-7.0,-2.79998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,6,6,669.6994855953799,0.15875226822390687,0.0340002040957188,0,0,,,-6.0,-6.0
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,7,7,669.7324832060476,0.19174987889164186,0.03299761066773499,0,0,,,-9.20001220703125,-6.20001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,8,8,669.7665068694805,0.22577354232453217,0.034023663432890316,0,0,,,-12.5,-7.79998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,9,9,669.7994857126778,0.25875238552180235,0.03297884319727018,0,0,,,-11.5,-11.5999755859375
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,10,10,669.8324900679036,0.2917567407475872,0.03300435522578482,0,0,,,-13.5999755859375,-12.70001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,11,11,669.8664876328239,0.3257543056679424,0.03399756492035522,0,0,,,-13.79998779296875,-13.29998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,12,12,669.8995116352453,0.3587783080893132,0.033024002421370824,0,0,,,-11.0,-16.4000244140625
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,13,13,669.9325124715706,0.39177914441461326,0.03300083632530004,0,0,,,-15.9000244140625,-15.29998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,14,14,669.9664845244624,0.42575119730645383,0.033972052891840576,0,0,,,-18.0999755859375,-16.5999755859375
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,15,15,669.9994923985887,0.45875907143272343,0.0330078741262696,0,0,,,-20.20001220703125,-15.79998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,16,16,670.0324721215093,0.4917387943532958,0.032979722920572385,0,0,,,-18.9000244140625,-14.70001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,17,17,670.066540064443,0.5258067372869846,0.034067942933688755,0,0,,,-19.79998779296875,-17.4000244140625
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,18,18,670.0995186143973,0.558785287241335,0.032978549954350456,0,0,,,-20.0999755859375,-16.79998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,19,19,670.1335155928355,0.5927822656794888,0.03399697843815375,0,0,,,-21.70001220703125,-12.29998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,20,20,670.1665088048758,0.6257754777197988,0.03299321204031003,0,0,,,-24.4000244140625,-13.0
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,21,21,670.1995026034001,0.6587692762441293,0.03299379852433049,0,0,,,-23.0,-12.70001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,22,22,670.2335259735919,0.6927926464359189,0.03402337019178958,0,0,,,-22.79998779296875,-12.29998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,23,23,670.2665144937655,0.7257811666095222,0.03298852017360332,0,0,,,-23.20001220703125,-13.5
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,24,24,670.299502134214,0.7587688070580043,0.032987640448482125,0,0,,,-24.20001220703125,-11.9000244140625
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,25,25,670.3335008721006,0.7927675449445815,0.033998737886577146,0,0,,,-21.5999755859375,-8.70001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,26,26,670.3665427622673,0.8258094351112959,0.03304189016671444,0,0,,,-22.5,-11.5999755859375
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,27,27,670.4004494222554,0.8597160950994294,0.03390665998813347,0,0,,,-24.29998779296875,-10.79998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,28,28,670.4335426297221,0.8928093025660928,0.033093207466663443,0,0,,,-23.29998779296875,-12.79998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,29,29,670.4665387741788,0.9258054470228672,0.032996144456774346,0,0,,,-20.79998779296875,-16.0999755859375
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,30,30,670.5004172829631,0.9596839558071224,0.033878508784255246,1,0,4.0,11.0,240.5,59.20001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,31,31,670.7174563275112,1.1767230003551958,0.21703904454807343,3,0,4.0,11.0,242.0999755859375,51.20001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,32,32,670.8504824999218,1.3097491727658053,0.13302617241060943,3,0,4.0,11.0,233.5999755859375,49.0
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,33,33,670.9835916597367,1.4428583325807267,0.13310915981492144,3,0,4.0,11.0,227.5,43.0
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,34,34,671.1174922789451,1.5767589517890883,0.1339006192083616,3,0,4.0,11.0,232.199951171875,74.10000610351562
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,35,35,671.2504727056476,1.7097393784915766,0.13298042670248833,3,0,4.0,11.0,231.4000244140625,73.79998779296875
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,36,36,671.3844988323108,1.8437655051548063,0.13402612666322966,3,0,4.0,11.0,234.0999755859375,74.60000610351562
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,37,37,671.5174953873084,1.9767620601523959,0.13299655499758956,3,0,4.0,11.0,232.0999755859375,76.10000610351562
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,38,38,671.6515109572701,2.110777630114171,0.13401556996177533,3,0,4.0,11.0,237.0,75.20001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,39,39,671.7845239338021,2.2437906066461437,0.13301297653197253,3,0,4.0,11.0,238.199951171875,72.70001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,40,40,671.9186072426019,2.377873915445889,0.13408330879974528,3,0,4.0,11.0,240.0,74.5
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,41,41,672.0515369384866,2.51080361133063,0.1329296958847408,3,0,4.0,11.0,244.199951171875,75.60000610351562
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,42,42,672.1855143870253,2.644781059869274,0.13397744853864424,3,0,4.0,11.0,244.800048828125,73.20001220703125
P034,20191022162934,nom,dispersed_1st,fade,practice,tr-1,-1,practice_01,practice,43,43,672.3185382135016,2.7778048863456206,0.13302382647634658,3,0,4.0,11.0,241.4000244140625,71.79998779296875
