participant,session_time,mem_nom,cond_1st,tree_behaviour,resource_distribution,trial,trial_number,bg_name,bg_type,loop,sample,t_absolute,secs_elapsed,sample_interval,flag,fruits,row,col,x,y
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,1,1,388.43953242660064,0.0,,0,0,,,9.5999755859375,18.79998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,2,2,388.46431046207545,0.024778035474810167,0.024778035474810167,0,0,,,10.0999755859375,18.79998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,3,3,388.4973653396646,0.057832913063975866,0.0330548775891657,0,0,,,8.20001220703125,17.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,4,4,388.5313360216096,0.09180359500896884,0.033970681944992975,0,0,,,8.5,15.0999755859375
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,5,5,388.56434691243885,0.12481448583821475,0.03301089082924591,0,0,,,6.29998779296875,15.5999755859375
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,6,6,388.59729856776175,0.15776614116111887,0.032951655322904116,0,0,,,8.5,12.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,7,7,388.6313789233627,0.1918464967620821,0.03408035560096323,0,0,,,7.5999755859375,12.4000244140625
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,8,8,388.66426870397845,0.22473627737781499,0.03288978061573289,0,0,,,7.0,13.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,9,9,388.69736082369127,0.2578283970906341,0.03309211971281911,0,0,,,8.20001220703125,9.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,10,10,388.73141420074535,0.29188177414471284,0.03405337705407874,0,0,,,8.0,7.29998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,11,11,388.76440691037897,0.3248744837783306,0.03299270963361778,0,0,,,87.0,32.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,12,12,388.79839137484305,0.35885894824241404,0.03398446446408343,1,0,4.0,11.0,203.9000244140625,53.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,13,13,389.0144182736258,0.5748858470251434,0.2160268987827294,0,0,,,213.300048828125,37.20001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,14,14,389.0483690149049,0.608836588304257,0.03395074127911357,0,0,,,213.199951171875,40.29998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,15,15,389.081391928783,0.6418595021823421,0.03302291387808509,0,0,,,214.199951171875,39.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,16,16,389.11437672079956,0.6748442941989197,0.03298479201657756,0,0,,,213.199951171875,36.79998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,17,17,389.1483582528108,0.708825826210159,0.033981532011239324,0,0,,,213.300048828125,39.29998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,18,18,389.18140345331267,0.7418710267120332,0.033045200501874206,3,0,4.0,11.0,214.699951171875,40.20001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,19,19,389.31547099410454,0.8759385675039084,0.13406754079187522,3,0,4.0,11.0,255.4000244140625,84.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,20,20,389.44836027620295,1.0088278496023122,0.13288928209840378,3,0,4.0,11.0,255.5999755859375,88.0
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,21,21,389.58237385990105,1.1428414333004184,0.13401358369810623,3,0,4.0,11.0,254.0999755859375,85.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,22,22,389.7154027266515,1.275870300050883,0.13302886675046466,3,0,4.0,11.0,253.0,85.79998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,23,23,389.84840637432717,1.4088739477265335,0.13300364767565043,3,0,4.0,11.0,253.199951171875,85.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,24,24,389.9823991376252,1.5428667110245442,0.1339927632980107,3,0,4.0,11.0,252.300048828125,84.39999389648438
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,25,25,390.1153629039709,1.6758304773702548,0.1329637663457106,3,0,4.0,11.0,251.800048828125,120.10000610351562
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,26,26,390.2494298582733,1.8098974316726526,0.1340669543023978,0,0,,,77.5,109.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,27,27,390.28239382988977,1.8428614032891346,0.03296397161648201,2,1,4.0,5.0,-347.0999755859375,153.79998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,28,28,390.49946174867364,2.0599293220730033,0.21706791878386866,3,1,4.0,5.0,-342.29998779296875,138.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,29,29,390.63242551501935,2.192893088418714,0.1329637663457106,3,1,4.0,5.0,-342.70001220703125,136.89999389648438
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,30,30,390.7664631448133,2.3269307182126795,0.1340376297939656,3,1,4.0,5.0,-342.9000244140625,133.0
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,31,31,390.89944303963784,2.4599106130372093,0.13297989482452977,3,1,4.0,5.0,-351.70001220703125,130.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,32,32,391.03345867605276,2.5939262494521245,0.1340156364149152,3,1,4.0,5.0,-354.79998779296875,126.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,33,33,391.16648636982427,2.7269539432236343,0.1330276937715098,3,1,4.0,5.0,-357.0,126.60000610351562
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,34,34,391.3004703357692,2.8609379091685696,0.13398396594493533,3,1,4.0,5.0,-374.29998779296875,147.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,35,35,391.4335185566961,2.9939861300954362,0.13304822092686663,3,1,4.0,5.0,-356.5999755859375,140.20001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,36,36,391.56647088648424,3.126938459883604,0.13295232978816784,2,2,7.0,5.0,-382.5,-199.9000244140625
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,37,37,391.7835555202364,3.3440230936357693,0.21708463375216525,3,2,7.0,5.0,-383.5,-208.79998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,38,38,391.9174987251172,3.4779662985165487,0.13394320488077938,3,2,7.0,5.0,-386.20001220703125,-209.20001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,39,39,392.05051850127165,3.6109860746710183,0.13301977615446958,3,2,7.0,5.0,-393.5,-206.9000244140625
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,40,40,392.1844907374161,3.744958310815491,0.13397223614447284,3,2,7.0,5.0,-394.79998779296875,-204.20001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,41,41,392.31751315277506,3.877980726174428,0.133022415358937,3,2,7.0,5.0,-392.70001220703125,-207.29998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,42,42,392.4505390870763,4.011006660475687,0.13302593430125853,2,3,9.0,1.0,-816.3999938964844,-393.20001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,43,43,392.6675278296916,4.227995403090972,0.21698874261528545,3,3,9.0,1.0,-806.0,-403.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,44,44,392.8015211794791,4.36198875287846,0.13399334978748811,3,3,9.0,1.0,-800.5,-409.70001220703125
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,45,45,392.9345482867611,4.495015860160493,0.13302710728203238,3,3,9.0,1.0,-797.6999969482422,-409.5999755859375
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,46,46,393.06855072714643,4.629018300545795,0.13400244038530218,3,3,9.0,1.0,-800.6000061035156,-415.4000244140625
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,47,47,393.2015502693903,4.762017842789646,0.13299954224385147,3,3,9.0,1.0,-801.8000030517578,-420.0999755859375
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,48,48,393.33558027481195,4.89604784821131,0.1340300054216641,1,3,1.0,1.0,-736.3000030517578,368.3999938964844
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,49,49,393.5516268210158,5.11209439441518,0.2160465462038701,3,3,1.0,1.0,-739.5,364.5
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,50,50,393.6855805827199,5.246048156119286,0.133953761704106,3,3,1.0,1.0,-742.3999938964844,362.0
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,51,51,393.8186150211277,5.379082594527063,0.13303443840777618,3,3,1.0,1.0,-742.1999969482422,358.3999938964844
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,52,52,393.95260045329997,5.5130680266993295,0.13398543217226688,2,4,7.0,11.0,184.5999755859375,-188.5999755859375
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,53,53,394.16966983830935,5.730137411708711,0.21706938500938122,3,4,7.0,11.0,264.5,-208.29998779296875
P027,20191021131508,nom,patchy_1st,fade,practice,tr-1,-1,practice_01,practice,54,54,394.3026045733932,5.863072146792547,0.13293473508383613,3,4,7.0,11.0,267.300048828125,-207.79998779296875
